fecha,capturas_totales,power_pellets,fantasmas_comidos,duracion_frames,capturas_blinky,capturas_pinky,capturas_inky,capturas_clyde
2026-06-24 16:11:51,0,4,4,2951,0,0,0,0
2026-06-24 16:13:54,0,0,0,407,0,0,0,0
2026-06-24 16:14:31,4,3,0,4388,4,0,0,0
2026-06-24 16:32:16,1,4,2,3822,1,0,0,0
2026-06-24 16:36:56,1,4,3,3339,1,0,0,0
2026-06-24 21:07:25,0,4,3,2888,0,0,0,0
2026-06-29 01:34:24,0,4,6,3278,0,0,0,0
2026-06-29 01:44:01,1,4,0,4089,1,0,0,0
2026-06-29 01:50:09,1,4,0,3447,1,0,0,0
2026-06-29 01:54:17,4,6,7,8382,4,0,0,0
2026-06-29 02:04:34,4,4,2,4364,3,0,1,0
2026-06-29 02:05:59,1,4,3,3638,1,0,0,0
2026-06-29 02:08:57,2,4,2,3688,2,0,0,0
2026-06-29 02:10:07,0,0,0,480,0,0,0,0
2026-06-29 02:14:37,1,4,1,3654,1,0,0,0
2026-06-29 02:20:52,1,4,2,3335,1,0,0,0
2026-06-29 02:21:51,0,0,0,203,0,0,0,0
2026-06-29 02:29:15,1,4,3,3569,1,0,0,0
2026-06-29 02:31:32,4,4,4,13015,4,0,0,0
2026-06-29 02:38:41,1,4,1,3531,1,0,0,0
